source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ruwe,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,has_xp_sampled,has_mcmc_msc,teff_gspphot,ag_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2927316908569536896,101.48755468919941,0.3241252,-19.783727891130564,0.4640438,1.5344132686698537,0.61148554,5.7933035,0.8212449899037022,0.40465567,-5.73479934476543,0.5549571,-0.27008873,1.0502632,0.62484586,219.464,20.344526,4.7191525,8.964066,21.27262,4.766094,33.16104,19.25092,2.0217,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9351905735962387
2932988984110764544,102.47054089958024,0.3314492,-20.45089754363993,0.44802865,1.5477157348066566,0.5596052,5.69207,-3.6683591410757543,0.44470787,4.352333140400184,0.58796763,-0.37370226,1.0471176,0.63498044,235.80273,20.249094,5.3349257,7.27247,21.366516,6.1553116,28.057224,19.15466,2.2118568,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9356171528445713
2927297705773725696,100.87568506186385,0.07702491,-19.99797176186375,0.102897234,1.5284597513412927,0.14699271,9.861838,-6.555265555487018,0.09318418,7.367791110352803,0.122228555,-0.0073203533,3.5188992,10.114555,674.1534,16.103104,8.5814705,354.44937,16.630753,10.15381,603.81683,15.27906,1.3516922,,false,true,4512.8525,0.1826,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9360668554440368
2926962354723952896,102.50739975803616,0.715217,-20.82759337772156,1.0615005,1.6091069557643136,1.0662758,2.284724,-1.0460081078833394,0.91593325,2.031213993646054,1.3209159,-0.51901275,1.0477128,1.2441871,82.510345,20.658882,14.045722,2.5778263,21.441547,9.67328,15.282332,19.323486,2.118061,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9362127172279673
2933258914215076608,101.89357428060265,0.3973779,-19.85221310084125,0.49923557,1.5384663396536165,0.64449203,0.92243385,0.8128890453384393,0.49493483,0.4359994951392107,0.63887453,-0.15762709,1.0594276,0.61120856,194.3318,20.500534,4.2921176,11.074933,21.146011,5.786945,20.41586,19.566853,1.5791588,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9370942933895072
2927165386422874240,100.51375961861869,0.15669268,-20.65053445869882,0.24390486,1.5537616419946885,0.34262764,6.4678946,2.0660551943859695,0.17718217,6.129035620158715,0.29587188,0.16491455,1.6012328,2.0179915,346.06,18.57719,9.591499,39.371975,18.895859,7.5938,155.03316,17.070686,1.8251724,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9372089155045984
2927093261029782912,100.51305630188251,0.09159233,-20.784878561372274,0.13820784,1.5446442171085744,0.18366094,16.552439,-6.2649977735130005,0.10234478,15.32099975111143,0.14635667,0.08209486,1.0130672,0.73652446,720.12506,18.87588,5.9702015,22.709633,20.008045,5.812211,99.85918,17.838572,2.1694736,,false,false,3605.5938,0.4069,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9373211927301995
2926174176690072064,102.39887677954604,0.010090678,-21.161031108331574,0.013730713,1.540905938771671,0.018130494,12.791267,-3.180928074804052,0.011081691,12.38943934451838,0.015905164,0.12890455,1.0136821,4.5060635,6421.9517,14.533706,11.704076,1216.8601,14.954597,11.217185,1855.8864,13.951807,1.0027905,73.62607,true,true,5205.902,0.0515,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9383076884092375
2927288321262904576,100.69767100768031,0.12928107,-20.171460378331183,0.19698825,1.624666675813147,0.25367004,4.1718903,-4.028288173284862,0.14351054,1.0851561648078982,0.21777005,-0.009569797,1.0996795,0.7535949,492.13266,19.264317,4.377451,20.750479,20.442919,4.453494,113.8831,17.984995,2.457924,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9396155378746731
2927169234711229824,100.52234227182575,0.008381219,-20.56422297101656,0.012022819,1.5397363670018314,0.017299874,12.365786,5.9525632052687305,0.009171718,-10.838802295100393,0.013265345,0.1382285,0.9922557,4.884236,7186.5396,14.324076,12.194666,1498.5809,14.683917,11.314314,2125.7466,13.795046,0.8888712,-32.377827,true,true,5465.614,0.0437,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9397361149529906
2926210834229398272,102.49801017540796,0.26120317,-20.90677843798452,0.382825,1.6591942185250872,0.4806218,2.690709,2.6827677871057007,0.3078696,-0.20657317101717504,0.4760317,0.00913537,34.752728,323.17682,379.8308,12.964791,168.30125,708.6364,12.647265,134.18454,1032.1714,11.894259,0.753006,36.81703,true,true,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.939855283445269
2927172155282813696,100.53884365277514,0.32631338,-20.48986985494887,0.51765466,1.5517242055576101,0.7711586,11.755161,-3.1276917003942533,0.35466704,11.331432939541259,0.51965374,0.090993464,1.1104978,0.4842498,261.329,20.431725,3.7535605,11.145522,21.284683,4.166848,36.77847,19.284391,2.0002918,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9400035283003944
2933047911065956352,102.32182257915242,0.99901015,-20.161169498253564,1.9075284,1.6063997017783194,1.6890304,4.4074535,-1.9936012246979544,1.3766611,3.930801509891087,2.346784,-0.20710461,0.9987422,0.9067704,92.16301,20.882233,3.8613832,8.561098,21.540361,9.501749,9.122647,19.903084,1.6372776,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9408995737248281
